X,Y,Z,true_class,预测类别,img_path
12.395922,4.8287888,1.8030145,云南省,云南省,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\0.png
-3.1143656,8.665473,7.479116,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1002.png
-3.129774,8.692509,7.5196595,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1022.png
-4.7095942,8.6655445,7.7157125,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1026.png
-1.8634993,8.764659,8.069811,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1034.png
-2.3225236,8.866601,7.785305,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1041.png
-4.745329,9.1164465,7.8642926,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1046.png
-1.7868623,8.739738,8.135943,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1058.png
-1.7859633,8.758439,8.127477,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1059.png
-1.7984692,8.778989,8.107592,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1061.png
-1.7934308,8.7764635,8.1147175,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1064.png
-1.7945106,8.776297,8.112136,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1069.png
-4.6170793,9.171725,7.902523,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1071.png
-3.082038,8.451811,7.816109,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1073.png
-4.714361,9.181298,7.9121766,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1077.png
-4.583153,9.263122,7.991605,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1079.png
1.1374061,11.607483,-1.1787238,云南省,云南省,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\108.png
-4.8043966,8.720239,7.774565,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1082.png
-4.606664,8.847661,7.763968,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1085.png
-4.6939483,9.03737,8.028515,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1107.png
-4.900161,9.013182,7.926356,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1115.png
-3.6773133,9.264532,7.7897515,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1117.png
-1.741551,0.51783204,7.2736144,云南省,云南省,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\112.png
-4.616586,8.480885,7.717105,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1122.png
-1.6526704,0.14317775,7.164116,云南省,云南省,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\113.png
-3.9640214,9.271342,7.7471843,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1133.png
-4.004931,9.062931,7.8492727,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1134.png
-3.9405775,9.329285,7.7436943,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1142.png
-3.9562283,9.346685,7.7609706,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1144.png
-4.895469,8.9396925,7.799042,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1152.png
-4.7505293,9.205732,7.9372535,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1154.png
-4.7698174,8.5917845,7.9572926,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1167.png
-4.6630354,8.793093,7.7957673,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1169.png
-4.668045,8.536045,7.796516,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1171.png
-4.632892,8.492937,7.7489486,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1174.png
-4.6671853,8.557425,7.892966,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1178.png
-4.4931383,8.952675,7.6908584,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1185.png
-4.6433372,8.588948,7.7734385,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1187.png
-4.688612,8.730432,7.787039,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1188.png
-4.6997914,8.712047,7.7980213,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1190.png
-4.5396833,8.517637,7.7753725,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1191.png
-4.5191875,9.153893,7.848215,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1198.png
-1.6975181,0.28533798,7.2166767,云南省,云南省,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\120.png
-4.8257046,8.719369,7.987712,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1209.png
-1.6513189,0.48727536,7.2331004,云南省,云南省,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\121.png
-4.546831,8.690276,7.7299786,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1212.png
-4.7622943,8.773484,7.7998104,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1216.png
-4.578575,8.598868,7.721043,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1217.png
-1.5284659,0.52260005,7.3659763,云南省,云南省,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\122.png
-4.7184143,8.561011,7.8524504,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1220.png
-4.61852,8.474186,7.749872,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1227.png
-4.706884,8.7365465,7.8039308,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1232.png
-4.6479173,8.57914,7.7253537,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1234.png
-4.5714717,8.820928,7.7281356,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1236.png
-4.6338797,8.726861,7.744998,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1238.png
-3.0586376,8.469506,7.564373,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1257.png
-4.5782557,8.481325,7.752671,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1264.png
-4.3219075,8.5147705,7.6946087,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1267.png
-1.9849105,8.691857,7.964561,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1273.png
-3.9737818,9.3048,7.7702303,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1283.png
-3.9753702,9.290143,7.776724,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1284.png
-3.4869537,9.03444,7.7326756,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1289.png
-1.3840449,0.27187774,7.457609,云南省,云南省,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\129.png
-4.8743286,8.88783,7.9256897,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1291.png
-3.9499738,9.336512,7.727286,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1292.png
-3.7956553,9.33315,7.748845,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1293.png
-3.8339038,9.316985,7.777919,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1297.png
-4.838316,8.987059,7.6815243,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1308.png
-4.77838,8.98449,7.6478643,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1309.png
-4.501301,8.522513,7.7882,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1315.png
-2.1772947,8.773597,7.7752824,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1317.png
-4.685509,9.199928,7.8933845,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1321.png
-4.7742753,8.549131,7.9181914,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1330.png
-2.64752,8.263069,8.05324,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1332.png
-2.64898,8.249956,8.064989,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1334.png
-2.6587636,8.269179,8.043535,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1336.png
-2.7225623,8.288125,7.9958453,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1338.png
-3.2968688,8.793473,7.6589074,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1339.png
