X,Y,true_class,预测类别,img_path
-4.69495,-62.846607,云南省,云南省,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\0.png
-46.39846,27.659582,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1002.png
-45.492485,27.050732,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1022.png
-54.186054,32.754356,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1026.png
-56.30119,11.868798,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1034.png
-48.704292,9.5548935,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1041.png
-59.1945,34.646374,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1046.png
-56.930416,11.827372,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1058.png
-56.96118,11.790857,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1059.png
-56.395023,10.755354,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1061.png
-56.611023,10.786518,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1064.png
-56.877792,10.486059,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1069.png
-61.12892,32.933743,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1071.png
-40.803127,21.519415,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1073.png
-60.636673,34.681797,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1077.png
-62.72614,34.3554,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1079.png
70.364265,-31.385756,云南省,云南省,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\108.png
-54.5669,35.4199,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1082.png
-55.803467,30.349472,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1085.png
-62.045757,37.834816,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1107.png
-60.082397,35.692837,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1115.png
-56.002003,23.343592,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1117.png
14.622029,42.070534,云南省,云南省,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\112.png
-53.358368,35.01201,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1122.png
16.255009,46.947327,云南省,云南省,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\113.png
-58.238857,26.731089,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1133.png
-53.248234,27.535503,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1134.png
-56.180603,25.821861,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1142.png
-56.503315,25.966734,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1144.png
-56.93931,36.984886,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1152.png
-61.467667,35.768055,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1154.png
-55.076096,36.471138,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1167.png
-56.57193,33.526268,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1169.png
-54.973564,34.1907,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1171.png
-52.56414,33.190285,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1174.png
-54.62646,37.386726,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1178.png
-56.975296,32.420624,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1185.png
-52.726418,34.281742,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1187.png
-55.932552,34.216503,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1188.png
-55.479485,33.4169,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1190.png
-50.013676,34.127827,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1191.png
-60.342403,33.54324,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1198.png
16.0897,46.517845,云南省,云南省,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\120.png
-55.320095,36.876087,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1209.png
13.422212,42.96406,云南省,云南省,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\121.png
-55.23207,32.39794,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1212.png
-56.32107,35.79337,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1216.png
-53.710102,34.00307,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1217.png
14.405402,44.44212,云南省,云南省,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\122.png
-52.90275,36.703568,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1220.png
-52.196472,35.398994,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1227.png
-56.33997,34.129383,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1232.png
-51.79783,36.450623,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1234.png
-55.73883,32.72036,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1236.png
-55.500446,33.92401,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1238.png
-41.282604,27.331577,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1257.png
-50.98292,34.174515,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1264.png
-50.238804,31.33774,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1267.png
-54.409843,12.129736,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1273.png
-57.46391,26.899347,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1283.png
-56.763165,27.176998,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1284.png
-54.655636,23.500608,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1289.png
10.019154,46.778072,云南省,云南省,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\129.png
-56.9726,39.63909,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1291.png
-58.486423,25.797365,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1292.png
-57.10143,23.865122,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1293.png
-57.967533,24.15889,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1297.png
-58.414375,37.663303,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1308.png
-58.556313,37.55611,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1309.png
-47.336445,15.355067,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1315.png
-47.335293,15.210284,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1317.png
-60.628933,34.35858,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1321.png
-54.22314,40.910065,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1330.png
-38.08668,16.304104,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1332.png
-38.1884,16.549492,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1334.png
