X,Y,Z,true_class,预测类别,img_path
-8.364107,-20.349491,-11.2961235,云南省,云南省,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\0.png
-17.767212,1.867451,-3.6723719,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1002.png
-16.847006,2.886506,-2.9609065,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1022.png
-21.373318,3.2838502,5.5172033,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1026.png
-18.233627,-2.4604769,7.2719636,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1034.png
-14.017836,-4.169768,2.582672,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1041.png
-25.277933,0.5544075,2.8221927,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1046.png
-18.686157,-3.3435986,6.8435035,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1058.png
-17.984041,-3.4196763,6.8654304,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1059.png
-17.960562,-4.0391245,7.965865,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1061.png
-18.109663,-3.3737829,8.496908,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1064.png
-18.810156,-4.0737305,8.127114,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1069.png
-24.247534,1.4682795,0.13607202,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1071.png
-12.346489,0.53051287,-3.4117987,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1073.png
-25.862785,0.06552701,1.433312,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1077.png
-25.555681,2.1659012,-0.16108876,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1079.png
23.165106,-16.204689,4.4457455,云南省,云南省,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\108.png
-22.848928,4.776004,4.0888753,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1082.png
-21.196287,0.1280954,1.7870796,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1085.png
-23.630968,2.933031,-1.1789706,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1107.png
-26.371277,2.2011955,1.7099271,未知,未知,D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1115.png
