img_path,true_class,top_n预测正确,top-1-predicted-class,top-1-probs,top-2-predicted-class,top-2-probs,top-3-predicted-class,top-3-probs,class_云南省_prob,class_广西省_prob,class_未知_prob,class_浙江省_prob,class_贵州省_prob,class_陕西省_prob
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\0.png,云南省,1,云南省,0.96628,广西省,0.03097,陕西省,0.00271,0.96628,0.03097,0.0,0.0,4e-05,0.00271
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1002.png,未知,1,未知,1.0,云南省,0.0,广西省,0.0,0.0,0.0,1.0,0.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1022.png,未知,1,未知,1.0,云南省,0.0,广西省,0.0,0.0,0.0,1.0,0.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1026.png,未知,1,未知,1.0,云南省,0.0,广西省,0.0,0.0,0.0,1.0,0.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1034.png,未知,1,未知,0.96488,广西省,0.02709,云南省,0.00324,0.00324,0.02709,0.96488,0.00014,0.0016,0.00306
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1041.png,未知,1,未知,0.99999,云南省,0.0,广西省,0.0,0.0,0.0,0.99999,0.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1046.png,未知,1,未知,1.0,云南省,0.0,广西省,0.0,0.0,0.0,1.0,0.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1058.png,未知,1,未知,0.98907,广西省,0.00861,贵州省,0.00112,0.00031,0.00861,0.98907,6e-05,0.00112,0.00084
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1059.png,未知,1,未知,0.96954,广西省,0.02508,贵州省,0.00243,0.00059,0.02508,0.96954,0.00025,0.00243,0.0021
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1061.png,未知,1,未知,0.99628,贵州省,0.00249,云南省,0.00057,0.00057,0.00049,0.99628,0.00011,0.00249,6e-05
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1064.png,未知,1,未知,0.99573,贵州省,0.0022,云南省,0.00096,0.00096,0.00089,0.99573,0.00016,0.0022,7e-05
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1069.png,未知,1,未知,0.99696,贵州省,0.00167,广西省,0.0007,0.00039,0.0007,0.99696,0.00018,0.00167,0.0001
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1071.png,未知,1,未知,1.0,云南省,0.0,广西省,0.0,0.0,0.0,1.0,0.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1073.png,未知,1,未知,0.99981,浙江省,0.00019,云南省,0.0,0.0,0.0,0.99981,0.00019,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1077.png,未知,1,未知,1.0,云南省,0.0,广西省,0.0,0.0,0.0,1.0,0.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1079.png,未知,1,未知,1.0,云南省,0.0,广西省,0.0,0.0,0.0,1.0,0.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\108.png,云南省,1,云南省,0.99972,贵州省,0.0002,陕西省,8e-05,0.99972,0.0,0.0,0.0,0.0002,8e-05
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1082.png,未知,1,未知,1.0,云南省,0.0,广西省,0.0,0.0,0.0,1.0,0.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1085.png,未知,1,未知,0.99999,云南省,0.0,广西省,0.0,0.0,0.0,0.99999,0.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1107.png,未知,1,未知,1.0,云南省,0.0,广西省,0.0,0.0,0.0,1.0,0.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1115.png,未知,1,未知,1.0,云南省,0.0,广西省,0.0,0.0,0.0,1.0,0.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1117.png,未知,1,未知,1.0,云南省,0.0,广西省,0.0,0.0,0.0,1.0,0.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\112.png,云南省,1,云南省,0.99699,浙江省,0.00117,贵州省,0.00073,0.99699,0.00064,0.0,0.00117,0.00073,0.00047
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1122.png,未知,1,未知,1.0,云南省,0.0,广西省,0.0,0.0,0.0,1.0,0.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\113.png,云南省,1,云南省,0.99988,广西省,5e-05,贵州省,5e-05,0.99988,5e-05,0.0,0.0,5e-05,3e-05
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1133.png,未知,1,未知,1.0,云南省,0.0,广西省,0.0,0.0,0.0,1.0,0.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1134.png,未知,1,未知,1.0,云南省,0.0,广西省,0.0,0.0,0.0,1.0,0.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1142.png,未知,1,未知,1.0,云南省,0.0,广西省,0.0,0.0,0.0,1.0,0.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1144.png,未知,1,未知,0.99999,云南省,0.0,广西省,0.0,0.0,0.0,0.99999,0.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1152.png,未知,1,未知,1.0,云南省,0.0,广西省,0.0,0.0,0.0,1.0,0.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1154.png,未知,1,未知,1.0,云南省,0.0,广西省,0.0,0.0,0.0,1.0,0.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1167.png,未知,1,未知,1.0,云南省,0.0,广西省,0.0,0.0,0.0,1.0,0.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1169.png,未知,1,未知,1.0,云南省,0.0,广西省,0.0,0.0,0.0,1.0,0.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1171.png,未知,1,未知,1.0,云南省,0.0,广西省,0.0,0.0,0.0,1.0,0.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1174.png,未知,1,未知,1.0,云南省,0.0,广西省,0.0,0.0,0.0,1.0,0.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1178.png,未知,1,未知,1.0,云南省,0.0,广西省,0.0,0.0,0.0,1.0,0.0,0.0,0.0
