img_path,true_class,top_n预测正确,top-1-predicted-class,top-1-probs,top-2-predicted-class,top-2-probs,top-3-predicted-class,top-3-probs,class_未知_prob,class_浙江省_prob,class_非浙江_prob
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\0.png,非浙江,1,非浙江,0.99985,浙江省,0.00015,未知,0.0,0.0,0.00015,0.99985
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1002.png,未知,1,未知,1.0,浙江省,0.0,非浙江,0.0,1.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1022.png,未知,1,未知,0.99962,非浙江,0.00037,浙江省,0.0,0.99962,0.0,0.00037
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1026.png,未知,1,未知,0.9986,浙江省,0.00137,非浙江,3e-05,0.9986,0.00137,3e-05
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1034.png,未知,1,未知,0.96828,非浙江,0.03141,浙江省,0.00031,0.96828,0.00031,0.03141
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1041.png,未知,1,未知,0.99496,非浙江,0.00429,浙江省,0.00075,0.99496,0.00075,0.00429
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1046.png,未知,1,未知,1.0,浙江省,0.0,非浙江,0.0,1.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1058.png,未知,1,未知,0.98869,非浙江,0.01127,浙江省,4e-05,0.98869,4e-05,0.01127
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1059.png,未知,1,未知,0.98196,非浙江,0.01771,浙江省,0.00033,0.98196,0.00033,0.01771
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1061.png,未知,1,未知,0.99642,非浙江,0.00357,浙江省,2e-05,0.99642,2e-05,0.00357
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1064.png,未知,1,未知,0.99834,非浙江,0.00162,浙江省,4e-05,0.99834,4e-05,0.00162
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1069.png,未知,1,未知,0.9989,非浙江,0.00108,浙江省,2e-05,0.9989,2e-05,0.00108
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1071.png,未知,1,未知,1.0,浙江省,0.0,非浙江,0.0,1.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1073.png,未知,1,未知,0.99996,非浙江,3e-05,浙江省,1e-05,0.99996,1e-05,3e-05
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1077.png,未知,1,未知,1.0,浙江省,0.0,非浙江,0.0,1.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1079.png,未知,1,未知,1.0,浙江省,0.0,非浙江,0.0,1.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\108.png,非浙江,1,非浙江,1.0,未知,0.0,浙江省,0.0,0.0,0.0,1.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1082.png,未知,1,未知,1.0,浙江省,0.0,非浙江,0.0,1.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1085.png,未知,1,未知,0.99923,非浙江,0.00074,浙江省,2e-05,0.99923,2e-05,0.00074
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1107.png,未知,1,未知,1.0,浙江省,0.0,非浙江,0.0,1.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1115.png,未知,1,未知,1.0,浙江省,0.0,非浙江,0.0,1.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1117.png,未知,1,未知,0.99991,浙江省,9e-05,非浙江,0.0,0.99991,9e-05,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\112.png,非浙江,1,非浙江,0.99999,浙江省,1e-05,未知,0.0,0.0,1e-05,0.99999
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1122.png,未知,1,未知,1.0,浙江省,0.0,非浙江,0.0,1.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\113.png,非浙江,1,非浙江,0.99998,浙江省,2e-05,未知,0.0,0.0,2e-05,0.99998
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1133.png,未知,1,未知,0.99955,非浙江,0.00032,浙江省,0.00013,0.99955,0.00013,0.00032
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1134.png,未知,1,未知,0.99999,非浙江,1e-05,浙江省,0.0,0.99999,0.0,1e-05
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1142.png,未知,1,未知,0.99434,非浙江,0.00526,浙江省,0.0004,0.99434,0.0004,0.00526
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1144.png,未知,1,未知,0.99998,非浙江,1e-05,浙江省,0.0,0.99998,0.0,1e-05
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1152.png,未知,1,未知,1.0,浙江省,0.0,非浙江,0.0,1.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1154.png,未知,1,未知,1.0,浙江省,0.0,非浙江,0.0,1.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1167.png,未知,1,未知,1.0,浙江省,0.0,非浙江,0.0,1.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1169.png,未知,1,未知,1.0,浙江省,0.0,非浙江,0.0,1.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1171.png,未知,1,未知,0.99999,非浙江,1e-05,浙江省,0.0,0.99999,0.0,1e-05
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1174.png,未知,1,未知,1.0,浙江省,0.0,非浙江,0.0,1.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1178.png,未知,1,未知,1.0,浙江省,0.0,非浙江,0.0,1.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1185.png,未知,1,未知,1.0,浙江省,0.0,非浙江,0.0,1.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1187.png,未知,1,未知,0.99999,非浙江,1e-05,浙江省,0.0,0.99999,0.0,1e-05
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1188.png,未知,1,未知,1.0,浙江省,0.0,非浙江,0.0,1.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1190.png,未知,1,未知,1.0,浙江省,0.0,非浙江,0.0,1.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1191.png,未知,1,未知,1.0,浙江省,0.0,非浙江,0.0,1.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1198.png,未知,1,未知,1.0,浙江省,0.0,非浙江,0.0,1.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\120.png,非浙江,1,非浙江,0.99989,浙江省,0.00011,未知,0.0,0.0,0.00011,0.99989
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1209.png,未知,1,未知,1.0,浙江省,0.0,非浙江,0.0,1.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\121.png,非浙江,1,非浙江,0.99991,浙江省,9e-05,未知,0.0,0.0,9e-05,0.99991
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1212.png,未知,1,未知,0.99931,非浙江,0.00067,浙江省,2e-05,0.99931,2e-05,0.00067
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1216.png,未知,1,未知,0.99999,浙江省,0.0,非浙江,0.0,0.99999,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1217.png,未知,1,未知,1.0,浙江省,0.0,非浙江,0.0,1.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\122.png,非浙江,1,非浙江,1.0,未知,0.0,浙江省,0.0,0.0,0.0,1.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1220.png,未知,1,未知,0.99997,非浙江,3e-05,浙江省,0.0,0.99997,0.0,3e-05
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1227.png,未知,1,未知,1.0,浙江省,0.0,非浙江,0.0,1.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1232.png,未知,1,未知,1.0,浙江省,0.0,非浙江,0.0,1.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1234.png,未知,1,未知,0.99921,非浙江,0.00066,浙江省,0.00013,0.99921,0.00013,0.00066
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1236.png,未知,1,未知,0.99999,非浙江,1e-05,浙江省,0.0,0.99999,0.0,1e-05
